owner,team,league,recipient,amount,election_year,party
Bill Foley,Vegas Golden Knights,NHL,TRUMP VICTORY,250000,2020,Republican
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,TRUMP VICTORY,17501,2020,Republican
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,435200,2020,Republican
Dan DeVos,Orlando Magic,NBA,"DONALD J. TRUMP FOR PRESIDENT, INC.",5600,2020,Republican
Jack Roush,Roush Fenway Racing,NASCAR,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,3020,2020,Republican
James L. Dolan,"New York Knicks, New York Rangers","NBA, NHL",TRUMP VICTORY,355000,2020,Republican
Kelly Loeffler,Atlanta Dream,WNBA,TRUMP VICTORY,290300,2020,Republican
Mike Brown,Cincinnati Bengals,NFL,TRUMP VICTORY,30000,2020,Republican
Robert Plummer,Los Angeles Dodgers,MLB,TRUMP VICTORY,2800,2020,Republican
Roger Penske,Team Penske,NASCAR,TRUMP VICTORY,35000,2020,Republican
Tilman J. Fertitta,Houston Rockets,NBA,TRUMP VICTORY,70000,2020,Republican
Todd Ricketts,Chicago Cubs,MLB,TRUMP VICTORY,50000,2020,Republican
